USD,AUD,Australian Dollar,1.4384,1/1/2024,8:00:14
USD,CAD,Canadian Dollar,1.2996,1/1/2024,8:00:14
USD,CHF,Swiss Franc,0.8249,1/1/2024,8:00:14
USD,HUF,Hungarian Forint,338.15,1/1/2024,8:00:14
USD,CZK,Czech Koruna,21.793,1/1/2024,8:00:14
USD,DKK,Danish Kroner,6.6299,1/1/2024,8:00:14
USD,EUR,Euro,0.888,1/1/2024,8:00:14
USD,FJD,Fiji Dollar,2.1152,1/1/2024,8:00:14
USD,GBP,British Pound,0.7701,1/1/2024,8:00:14
USD,HKD,Hong Kong Dollar,7.6758,1/1/2024,8:00:14
USD,MYR,Malaysian Ringgit,4.3992,1/1/2024,8:00:14
USD,JPY,Japanese Yen,138.24,1/1/2024,8:00:14
USD,MXN,Mexican Peso,16.58921,1/1/2024,8:00:14
USD,NOK,Norwegian Kroner,9.9525,1/1/2024,8:00:14
USD,NZD,New Zealand Dollar,1.5498,1/1/2024,8:00:14
USD,SEK,Swedish Kronor,9.872,1/1/2024,8:00:14
USD,SGD,Singapore Dollar,1.2958,1/1/2024,8:00:14
USD,THB,Thai Baht,33.75,1/1/2024,8:00:14
USD,TND,Tunisian Dinar,2.9626,1/1/2024,8:00:14
USD,XPF,Central Polynesian Franc,104.3005,1/1/2024,8:00:14
USD,ZAR,South African Rand,17.9085,1/1/2024,8:00:14
USD,CNY,Chinese Renminbi Yuan,6.7569,1/1/2024,8:00:14
USD,BWP,Botswana Pula,12.8979,1/1/2024,8:00:14
USD,MRU,Mauritanian Ouguiya,37.98,1/1/2024,8:00:14
USD,MVR,Maldives Rufiyaa,14.75,1/1/2024,8:00:14
USD,EGP,Egyptian Pound,29.82517,1/1/2024,8:00:14
USD,IDR,Indonesian Rupiah,15063,1/1/2024,8:00:14
USD,ILS,Israeli Shekel,3.5134,1/1/2024,8:00:14
USD,INR,Indian Rupee,80.95,1/1/2024,8:00:14
USD,ISK,Iceland Krona,131.81,1/1/2024,8:00:14
USD,ALL,Albanian Lek,87.57,1/1/2024,8:00:14
USD,KRW,South Korean Won,1241,1/1/2024,8:00:14
USD,MAD,Moroccan Dirham,9.584068,1/1/2024,8:00:14
USD,AMD,Armenian Dram,387,1/1/2024,8:00:14
USD,SCR,Seychelles Rupee,12.9227,1/1/2024,8:00:14
USD,ANG,Netherlands Antilles Guilder,1.6814,1/1/2024,8:00:14
USD,AED,Utd. Arab Emir. Dirham,3.5914,1/1/2024,8:00:14
USD,SAR,Saudi Riyal,3.6599,1/1/2024,8:00:14
USD,MUR,Mauritius Rupee,42.62,1/1/2024,8:00:14
USD,TRY,Turkish New Lira,27.989,1/1/2024,8:00:14
